id,name,flavor_text
1,Adaptability,Powers up moves of the same type as the Pokémon.
2,Aerilate,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.
3,Aftermath,Damages the attacker if it knocks out the Pokémon with a move that makes direct contact.
4,Air Lock,Eliminates the effects of weather.
5,Analytic,Boosts the power of the Pokémon’s move if it is the last to act that turn.
6,Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat."
7,Anger Shell,"When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats."
8,Anticipation,The Pokémon can sense an opposing Pokémon’s dangerous moves.
9,Arena Trap,Prevents opposing Pokémon from fleeing from battle.
10,Armor Tail,The mysterious tail covering the Pokémon’s head makes opponents unable to use priority moves against the Pokémon or its allies.
11,Aroma Veil,Protects the Pokémon and its allies from effects that prevent the use of moves.
12,As One,This Ability combines the effects of both Calyrex’s Unnerve Ability and Glastrier’s/Spectrier’s Chilling Neigh/Grim Neigh Ability.
13,Aura Break,The effects of “Aura” Abilities are reversed to lower the power of affected moves.
14,Bad Dreams,Damages opposing Pokémon that are asleep.
15,Ball Fetch,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle."
16,Battery,Powers up ally Pokémon’s special moves.
17,Battle Armor,Hard armor protects the Pokémon from critical hits.
18,Battle Bond,"When the Pokémon knocks out a target, its bond with its Trainer is strengthened, and its Attack, Sp. Atk, and Speed stats are boosted."
19,Beads of Ruin,The power of the Pokémon’s ruinous beads lowers the Sp. Def stats of all Pokémon except itself.
20,Beast Boost,Boosts the Pokémon’s most proficient stat every time it knocks out a target.
21,Berserk,Boosts the Pokémon’s Sp. Atk stat when it takes a hit that causes its HP to drop to half or less.
22,Big Pecks,Prevents the Pokémon from having its Defense stat lowered.
23,Blaze,Powers up Fire-type moves when the Pokémon’s HP is low.
24,Bulletproof,Protects the Pokémon from ball and bomb moves.
25,Cheek Pouch,"The Pokémon’s HP is restored when it eats any Berry, in addition to the Berry’s usual effect."
26,Chilling Neigh,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat."
27,Chlorophyll,Boosts the Pokémon’s Speed stat in harsh sunlight.
28,Clear Body,Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
29,Cloud Nine,Eliminates the effects of weather.
30,Color Change,The Pokémon’s type becomes the type of the move used on it.
31,Comatose,The Pokémon is always drowsing and will never wake up. It can attack while in its sleeping state.
32,Commander,"When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there."
33,Competitive,Boosts the Pokémon’s Sp. Atk stat sharply when its stats are lowered by an opposing Pokémon.
34,Compound Eyes,The Pokémon’s compound eyes boost its accuracy.
35,Contrary,Reverses any stat changes affecting the Pokémon so that attempts to boost its stats instead lower them— and attempts to lower its stats will boost them.
36,Corrosion,The Pokémon can poison the target even if it’s a Steel or Poison type.
