name,type,category,flavor_text,base_power,accuracy,pp
"10,000,000 Volt Thunderbolt",Electric,Special,"The user, Pikachu wearing a cap, powers up a jolt of electricity using its Z-Power and unleashes it. Critical hits land more easily.",195,,1
Absorb,Grass,Special,A nutrient-draining attack. The user’s HP is restored by up to half the damage taken by the target.,20,100,25
Accelerock,Rock,Physical,The user smashes into the target at high speed. This move always goes first.,40,100,20
Acid,Poison,Special,Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.,40,100,30
Acid Armor,Poison,Status,"The user alters its cellular structure to liquefy itself, sharply boosting its Defense stat.",,,20
Acid Spray,Poison,Special,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target’s Sp. Def stat.,40,100,20
Acrobatics,Flying,Physical,The user nimbly strikes the target. This attack does massive damage if the user isn’t holding an item.,55,100,15
Acupressure,Normal,Status,"The user applies pressure to stress points, sharply boosting one of its or its allies’ stats.",,,30
Aerial Ace,Flying,Physical,"The user confounds the target with speed, then slashes. This attack never misses.",60,,20
Aeroblast,Flying,Special,A vortex of air is shot at the target to inflict damage. This move has a heightened chance of landing a critical hit.,100,95,5
After You,Normal,Status,The user helps the target and makes it use its move right after the user.,,,15
Agility,Psychic,Status,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,,,30
Air Cutter,Flying,Special,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,60,95,25
Air Slash,Flying,Special,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,75,95,15
Ally Switch,Psychic,Status,The user teleports using a strange power and switches places with one of its allies. This move’s chance of failing rises if it is used in succession.,,,15
Amnesia,Psychic,Status,The user temporarily empties its mind to forget its concerns. This sharply boosts the user’s Sp. Def stat.,,,20
Anchor Shot,Steel,Physical,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,80,100,20
Ancient Power,Rock,Special,The user attacks with a prehistoric power. This may also boost all the user’s stats at once.,60,100,5
Apple Acid,Grass,Special,The user attacks the target with an acidic liquid created from tart apples. This also lowers the target’s Sp. Def stat.,80,100,10
Aqua Cutter,Water,Physical,The user expels pressurized water to cut at the target like a blade. This move has a heightened chance of landing a critical hit.,70,100,20
Aqua Jet,Water,Physical,"The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first.",40,100,20
Aqua Ring,Water,Status,The user envelops itself in a veil made of water. It regains some HP every turn.,,,20
Aqua Step,Water,Physical,The user toys with the target and attacks it using light and fluid dance steps. This also boosts the user’s Speed stat.,80,100,10
Aqua Tail,Water,Physical,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,90,90,10
Arm Thrust,Fighting,Physical,The user attacks the target with open-palmed arm thrusts. This move hits two to five times in a row.,15,100,20
Armor Cannon,Fire,Special,The user shoots its own armor out as blazing projectiles. This also lowers the user’s Defense and Sp. Def stats.,120,100,5
Aromatherapy,Grass,Status,The user releases a soothing scent that heals all status conditions affecting the user’s party.,,,5
Aromatic Mist,Fairy,Status,The user boosts the Sp. Def stat of an ally Pokémon by using a mysterious aroma.,,,20
Assist,Normal,Status,The user hurriedly and randomly uses a move among those known by ally Pokémon.,,,20
Assurance,Dark,Physical,This move’s power is doubled if the target has already taken some damage in the same turn.,60,100,10
Astonish,Ghost,Physical,The user attacks the target by crying out in a startling fashion. This may also make the target flinch.,30,100,15
Astral Barrage,Ghost,Special,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,120,100,5
Attack Order,Bug,Physical,The user calls out its underlings to pummel the target. This move has a heightened chance of landing a critical hit.,90,100,15
Attract,Normal,Status,"If the target is of the opposite gender to the user, it becomes infatuated with the user and will sometimes be unable to use its moves.",,100,15
Aura Sphere,Fighting,Special,The user lets loose a pulse of aura power from deep within its body at the target. This attack never misses.,80,,20
Aura Wheel,Electric,Physical,Morpeko attacks and boosts its Speed stat with the energy stored in its cheeks. This move’s type changes depending on the user’s form.,110,100,10
Aurora Beam,Ice,Special,The target is hit with a rainbow-colored beam. This may also lower the target’s Attack stat.,65,100,20
Aurora Veil,Ice,Status,This move reduces damage from physical and special moves for five turns. This can be used only when it is snowing.,,,20
Autotomize,Steel,Status,The user sheds part of its body to make itself lighter and sharply raise its Speed stat.,,,15
Avalanche,Ice,Physical,This move’s power is doubled if the target has inflicted damage on the user in the same turn.,60,100,10
Axe Kick,Fighting,Physical,"The user attacks by kicking up into the air and slamming its heel down upon the target. This may also confuse the target. If it misses, the user takes damage instead.",120,90,10
Baby-Doll Eyes,Fairy,Status,"The user stares at the target with its baby-doll eyes, which lowers the target’s Attack stat. This move always goes first.",,100,30
Baddy Bad,Dark,Special,The user acts bad and attacks the target. A wondrous wall of light is put up to weaken the power of the opposing Pokémon’s physical moves.,90,100,15
Baneful Bunker,Poison,Status,"In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact.",,,10
Barb Barrage,Poison,Physical,The user launches countless toxic barbs to inflict damage. This may also poison the target. This move’s power is doubled if the target is already poisoned.,60,100,10
Barrage,Normal,Physical,Round objects are hurled at the target to strike two to five times in a row.,15,85,20
Barrier,Psychic,Status,The user throws up a sturdy wall that sharply raises its Defense stat.,,,20
Baton Pass,Normal,Status,The user switches places with a party Pokémon in waiting and passes along any stat changes.,,,40
Beak Blast,Flying,Physical,"The user first heats up its beak, and then it attacks the target. Making direct contact with the user while it’s heating up its beak results in a burn.",100,100,15
Beat Up,Dark,Physical,"The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks.",,100,10
Behemoth Bash,Steel,Physical,The user becomes a gigantic shield and slams into the target. This move inflicts twice the damage if the target is Dynamaxed.,100,100,5
Behemoth Blade,Steel,Physical,The user becomes a gigantic sword and cuts the target. This move inflicts twice the damage if the target is Dynamaxed.,100,100,5
Belch,Poison,Special,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.,120,90,10
Belly Drum,Normal,Status,The user maximizes its Attack stat but loses HP equal to half its max HP.,,,10
Bestow,Normal,Status,The user passes its held item to the target when the target isn’t holding an item.,,,15
Bide,Normal,Physical,"The user endures attacks for two turns, then strikes back to cause double the damage taken.",,,10
Bind,Normal,Physical,"A long body, tentacles, or the like are used to bind and squeeze the target for four to five turns.",15,85,20
Bite,Dark,Physical,The target is bitten with viciously sharp fangs. This may also make the target flinch.,60,100,25
Bitter Blade,Fire,Physical,The user focuses its bitter feelings toward the world of the living into a slashing attack. The user’s HP is restored by up to half the damage taken by the target.,90,100,10
