id,name,type_id,category_id,flavor_text,base_power,accuracy,pp
1,"10,000,000 Volt Thunderbolt",4,2,"The user, Pikachu wearing a cap, powers up a jolt of electricity using its Z-Power and unleashes it. Critical hits land more easily.",195,,1
2,Absorb,5,2,A nutrient-draining attack. The user’s HP is restored by up to half the damage taken by the target.,20,100,25
3,Accelerock,13,1,The user smashes into the target at high speed. This move always goes first.,40,100,20
4,Acid,8,2,Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.,40,100,30
5,Acid Armor,8,3,"The user alters its cellular structure to liquefy itself, sharply boosting its Defense stat.",,,20
6,Acid Spray,8,2,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target’s Sp. Def stat.,40,100,20
7,Acrobatics,10,1,The user nimbly strikes the target. This attack does massive damage if the user isn’t holding an item.,55,100,15
8,Acupressure,1,3,"The user applies pressure to stress points, sharply boosting one of its or its allies’ stats.",,,30
9,Aerial Ace,10,1,"The user confounds the target with speed, then slashes. This attack never misses.",60,,20
10,Aeroblast,10,2,A vortex of air is shot at the target to inflict damage. This move has a heightened chance of landing a critical hit.,100,95,5
11,After You,1,3,The user helps the target and makes it use its move right after the user.,,,15
12,Agility,11,3,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,,,30
13,Air Cutter,10,2,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,60,95,25
14,Air Slash,10,2,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,75,95,15
15,Ally Switch,11,3,The user teleports using a strange power and switches places with one of its allies. This move’s chance of failing rises if it is used in succession.,,,15
16,Amnesia,11,3,The user temporarily empties its mind to forget its concerns. This sharply boosts the user’s Sp. Def stat.,,,20
17,Anchor Shot,17,1,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,80,100,20
18,Ancient Power,13,2,The user attacks with a prehistoric power. This may also boost all the user’s stats at once.,60,100,5
19,Apple Acid,5,2,The user attacks the target with an acidic liquid created from tart apples. This also lowers the target’s Sp. Def stat.,80,100,10
20,Aqua Cutter,3,1,The user expels pressurized water to cut at the target like a blade. This move has a heightened chance of landing a critical hit.,70,100,20
21,Aqua Jet,3,1,"The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first.",40,100,20
22,Aqua Ring,3,3,The user envelops itself in a veil made of water. It regains some HP every turn.,,,20
23,Aqua Step,3,1,The user toys with the target and attacks it using light and fluid dance steps. This also boosts the user’s Speed stat.,80,100,10
24,Aqua Tail,3,1,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,90,90,10
25,Arm Thrust,7,1,The user attacks the target with open-palmed arm thrusts. This move hits two to five times in a row.,15,100,20
26,Armor Cannon,2,2,The user shoots its own armor out as blazing projectiles. This also lowers the user’s Defense and Sp. Def stats.,120,100,5
27,Aromatherapy,5,3,The user releases a soothing scent that heals all status conditions affecting the user’s party.,,,5
28,Aromatic Mist,18,3,The user boosts the Sp. Def stat of an ally Pokémon by using a mysterious aroma.,,,20
29,Assist,1,3,The user hurriedly and randomly uses a move among those known by ally Pokémon.,,,20
30,Assurance,16,1,This move’s power is doubled if the target has already taken some damage in the same turn.,60,100,10
31,Astonish,14,1,The user attacks the target by crying out in a startling fashion. This may also make the target flinch.,30,100,15
32,Astral Barrage,14,2,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,120,100,5
33,Attack Order,12,1,The user calls out its underlings to pummel the target. This move has a heightened chance of landing a critical hit.,90,100,15
34,Attract,1,3,"If the target is of the opposite gender to the user, it becomes infatuated with the user and will sometimes be unable to use its moves.",,100,15
35,Aura Sphere,7,2,The user lets loose a pulse of aura power from deep within its body at the target. This attack never misses.,80,,20
36,Aura Wheel,4,1,Morpeko attacks and boosts its Speed stat with the energy stored in its cheeks. This move’s type changes depending on the user’s form.,110,100,10
37,Aurora Beam,6,2,The target is hit with a rainbow-colored beam. This may also lower the target’s Attack stat.,65,100,20
38,Aurora Veil,6,3,This move reduces damage from physical and special moves for five turns. This can be used only when it is snowing.,,,20
39,Autotomize,17,3,The user sheds part of its body to make itself lighter and sharply raise its Speed stat.,,,15
40,Avalanche,6,1,This move’s power is doubled if the target has inflicted damage on the user in the same turn.,60,100,10
41,Axe Kick,7,1,"The user attacks by kicking up into the air and slamming its heel down upon the target. This may also confuse the target. If it misses, the user takes damage instead.",120,90,10
42,Baby-Doll Eyes,18,3,"The user stares at the target with its baby-doll eyes, which lowers the target’s Attack stat. This move always goes first.",,100,30
43,Baddy Bad,16,2,The user acts bad and attacks the target. A wondrous wall of light is put up to weaken the power of the opposing Pokémon’s physical moves.,90,100,15
44,Baneful Bunker,8,3,"In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact.",,,10
45,Barb Barrage,8,1,The user launches countless toxic barbs to inflict damage. This may also poison the target. This move’s power is doubled if the target is already poisoned.,60,100,10
46,Barrage,1,1,Round objects are hurled at the target to strike two to five times in a row.,15,85,20
47,Barrier,11,3,The user throws up a sturdy wall that sharply raises its Defense stat.,,,20
48,Baton Pass,1,3,The user switches places with a party Pokémon in waiting and passes along any stat changes.,,,40
49,Beak Blast,10,1,"The user first heats up its beak, and then it attacks the target. Making direct contact with the user while it’s heating up its beak results in a burn.",100,100,15
50,Beat Up,16,1,"The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks.",,100,10
51,Behemoth Bash,17,1,The user becomes a gigantic shield and slams into the target. This move inflicts twice the damage if the target is Dynamaxed.,100,100,5
52,Behemoth Blade,17,1,The user becomes a gigantic sword and cuts the target. This move inflicts twice the damage if the target is Dynamaxed.,100,100,5
53,Belch,8,2,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.,120,90,10
54,Belly Drum,1,3,The user maximizes its Attack stat but loses HP equal to half its max HP.,,,10
55,Bestow,1,3,The user passes its held item to the target when the target isn’t holding an item.,,,15
56,Bide,1,1,"The user endures attacks for two turns, then strikes back to cause double the damage taken.",,,10
57,Bind,1,1,"A long body, tentacles, or the like are used to bind and squeeze the target for four to five turns.",15,85,20
58,Bite,16,1,The target is bitten with viciously sharp fangs. This may also make the target flinch.,60,100,25
59,Bitter Blade,2,1,The user focuses its bitter feelings toward the world of the living into a slashing attack. The user’s HP is restored by up to half the damage taken by the target.,90,100,10
60,Bitter Malice,14,2,The user attacks the target with spine-chilling resentment. This also lowers the target’s Attack stat.,75,100,10
61,Blast Burn,2,2,The target is razed by a fiery explosion. The user can’t move on the next turn.,150,90,5
62,Blaze Kick,2,1,The user launches a kick that has a heightened chance of landing a critical hit. This may also leave the target with a burn.,85,90,10
63,Blazing Torque,2,1,Signature move of the Schedar Starmobile.,80,100,10
64,Bleakwind Storm,10,2,The user attacks with savagely cold winds that cause both body and spirit to tremble. This may also lower the Speed stats of opposing Pokémon.,100,80,10
65,Blizzard,6,2,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,110,70,5
66,Block,1,3,The user blocks the target’s way with arms spread wide to prevent the target from fleeing.,,,5
67,Blood Moon,1,2,The user unleashes the full brunt of its spirit from a full moon that shines as red as blood. This move can't be used twice in a row.,140,100,5
68,Blue Flare,2,2,"The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn.",130,85,5
69,Body Press,7,1,"The user attacks by slamming its body into the target. The higher the user’s Defense stat, the greater the damage this move deals.",80,100,10
70,Body Slam,1,1,The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis.,85,100,15
71,Bolt Beak,4,1,The user stabs the target with its electrified beak. This move’s power is doubled if the user moves before the target.,85,100,10
72,Bolt Strike,4,1,The user surrounds itself with a great amount of electricity and charges the target. This may also leave the target with paralysis.,130,85,5
73,Bone Club,9,1,The user clubs the target with a bone. This may also make the target flinch.,65,85,20
74,Bone Rush,9,1,The user attacks by striking the target with a hard bone. This move hits two to five times in a row.,25,90,10
75,Bonemerang,9,1,The user throws the bone it holds. The bone loops around to damage the target twice—coming and going.,50,90,10
76,Boomburst,1,2,The user attacks everything around it with the destructive power of a terrible explosive sound.,140,100,10
