name,form,unique_name,ndex,galar_dex,ioa_dex,ct_dex,paldea_dex,tm_dex,type1,type2,hp,atk,def,spa,spd,spe,egg_group1,egg_group2,gender_ratio,ability1,ability2,hidden_ability,egg_cycles,url
Bulbasaur,,bulbasaur,1,,68,,,,Grass,Poison,45,49,49,65,65,45,Grass,Monster,Male 7:1,Overgrow,,Chlorophyll,20,https://pokemondb.net/pokedex/bulbasaur
Ivysaur,,ivysaur,2,,69,,,,Grass,Poison,60,62,63,80,80,60,Grass,Monster,Male 7:1,Overgrow,,Chlorophyll,20,https://pokemondb.net/pokedex/ivysaur
Venusaur,,venusaur,3,,70,,,,Grass,Poison,80,82,83,100,100,80,Grass,Monster,Male 7:1,Overgrow,,Chlorophyll,20,https://pokemondb.net/pokedex/venusaur
Charmander,,charmander,4,378,,,,,Fire,,39,52,43,60,50,65,Dragon,Monster,Male 7:1,Blaze,,Solar Power,20,https://pokemondb.net/pokedex/charmander
Charmeleon,,charmeleon,5,379,,,,,Fire,,58,64,58,80,65,80,Dragon,Monster,Male 7:1,Blaze,,Solar Power,20,https://pokemondb.net/pokedex/charmeleon
Charizard,,charizard,6,380,,,,,Fire,Flying,78,84,78,109,85,100,Dragon,Monster,Male 7:1,Blaze,,Solar Power,20,https://pokemondb.net/pokedex/charizard
Squirtle,,squirtle,7,,71,,,,Water,,44,48,65,50,64,43,Monster,Water 1,Male 7:1,Torrent,,Rain Dish,20,https://pokemondb.net/pokedex/squirtle
Wartortle,,wartortle,8,,72,,,,Water,,59,63,80,65,80,58,Monster,Water 1,Male 7:1,Torrent,,Rain Dish,20,https://pokemondb.net/pokedex/wartortle
Blastoise,,blastoise,9,,73,,,,Water,,79,83,100,85,105,78,Monster,Water 1,Male 7:1,Torrent,,Rain Dish,20,https://pokemondb.net/pokedex/blastoise
Caterpie,,caterpie,10,13,,,,,Bug,,45,30,35,20,20,45,Bug,,Equal,Shield Dust,,Run Away,15,https://pokemondb.net/pokedex/caterpie
Metapod,,metapod,11,14,,,,,Bug,,50,20,55,25,25,30,Bug,,Equal,Shed Skin,,,15,https://pokemondb.net/pokedex/metapod
Butterfree,,butterfree,12,15,,,,,Bug,Flying,60,45,50,90,80,70,Bug,,Equal,Compound Eyes,,Tinted Lens,15,https://pokemondb.net/pokedex/butterfree
Weedle,,weedle,13,,,,,,Bug,Poison,40,35,30,20,20,50,Bug,,Equal,Shield Dust,,Run Away,15,https://pokemondb.net/pokedex/weedle
Kakuna,,kakuna,14,,,,,,Bug,Poison,45,25,50,25,25,35,Bug,,Equal,Shed Skin,,,15,https://pokemondb.net/pokedex/kakuna
Beedrill,,beedrill,15,,,,,,Bug,Poison,65,90,40,45,80,75,Bug,,Equal,Swarm,,Sniper,15,https://pokemondb.net/pokedex/beedrill
Pidgey,,pidgey,16,,,,,,Normal,Flying,40,45,40,35,35,56,Flying,,Equal,Keen Eye,Tangled Feet,Big Pecks,15,https://pokemondb.net/pokedex/pidgey
Pidgeotto,,pidgeotto,17,,,,,,Normal,Flying,63,60,55,50,50,71,Flying,,Equal,Keen Eye,Tangled Feet,Big Pecks,15,https://pokemondb.net/pokedex/pidgeotto
Pidgeot,,pidgeot,18,,,,,,Normal,Flying,83,80,75,70,70,101,Flying,,Equal,Keen Eye,Tangled Feet,Big Pecks,15,https://pokemondb.net/pokedex/pidgeot
Rattata,,rattata,19,,,,,,Normal,,30,56,35,25,35,72,Field,,Equal,Run Away,Guts,Hustle,15,https://pokemondb.net/pokedex/rattata
Rattata,Alolan Rattata,rattata-alola,19,,,,,,Dark,Normal,30,56,35,25,35,72,Field,,Equal,Gluttony,Hustle,Thick Fat,15,https://pokemondb.net/pokedex/rattata
Raticate,,raticate,20,,,,,,Normal,,55,81,60,50,70,97,Field,,Equal,Run Away,Guts,Hustle,15,https://pokemondb.net/pokedex/raticate
Raticate,Alolan Raticate,raticate-alola,20,,,,,,Dark,Normal,75,71,70,40,80,77,Field,,Equal,Gluttony,Hustle,Thick Fat,15,https://pokemondb.net/pokedex/raticate
Spearow,,spearow,21,,,,,,Normal,Flying,40,60,30,31,31,70,Flying,,Equal,Keen Eye,,Sniper,15,https://pokemondb.net/pokedex/spearow
Fearow,,fearow,22,,,,,,Normal,Flying,65,90,65,61,61,100,Flying,,Equal,Keen Eye,,Sniper,15,https://pokemondb.net/pokedex/fearow
Ekans,,ekans,23,,,,,18,Poison,,35,60,44,40,54,55,Dragon,Field,Equal,Intimidate,Shed Skin,Unnerve,20,https://pokemondb.net/pokedex/ekans
Arbok,,arbok,24,,,,,19,Poison,,60,95,69,65,79,80,Dragon,Field,Equal,Intimidate,Shed Skin,Unnerve,20,https://pokemondb.net/pokedex/arbok
Pikachu,,pikachu,25,194,85,,74,21,Electric,,35,55,40,50,50,90,Fairy,Field,Equal,Static,,Lightning Rod,10,https://pokemondb.net/pokedex/pikachu
Raichu,,raichu,26,195,86,,75,22,Electric,,60,90,55,90,80,110,Fairy,Field,Equal,Static,,Lightning Rod,10,https://pokemondb.net/pokedex/raichu
Raichu,Alolan Raichu,raichu-alola,26,195,86,,75,22,Electric,Psychic,60,85,50,95,85,110,Fairy,Field,Equal,Surge Surfer,,,10,https://pokemondb.net/pokedex/raichu
Sandshrew,,sandshrew,27,,168,,,116,Ground,,50,75,85,20,30,40,Field,,Equal,Sand Veil,,Sand Rush,20,https://pokemondb.net/pokedex/sandshrew
Sandshrew,Alolan Sandshrew,sandshrew-alola,27,,168,,,116,Ice,Steel,50,75,90,10,35,40,Field,,Equal,Snow Cloak,,Slush Rush,20,https://pokemondb.net/pokedex/sandshrew
Sandslash,,sandslash,28,,169,,,117,Ground,,75,100,110,45,55,65,Field,,Equal,Sand Veil,,Sand Rush,20,https://pokemondb.net/pokedex/sandslash
Sandslash,Alolan Sandslash,sandslash-alola,28,,169,,,117,Ice,Steel,75,100,120,25,65,65,Field,,Equal,Snow Cloak,,Slush Rush,20,https://pokemondb.net/pokedex/sandslash
Nidoran♀,,nidoran-female,29,,,65,,,Poison,,55,47,52,40,40,41,Field,Monster,Female only,Poison Point,Rivalry,Hustle,20,https://pokemondb.net/pokedex/nidoran-f
Nidorina,,nidorina,30,,,66,,,Poison,,70,62,67,55,55,56,Undiscovered,,Female only,Poison Point,Rivalry,Hustle,20,https://pokemondb.net/pokedex/nidorina
Nidoqueen,,nidoqueen,31,,,67,,,Poison,Ground,90,92,87,75,85,76,Undiscovered,,Female only,Poison Point,Rivalry,Sheer Force,20,https://pokemondb.net/pokedex/nidoqueen
Nidoran♂,,nidoran-male,32,,,68,,,Poison,,46,57,40,40,40,50,Field,Monster,Male only,Poison Point,Rivalry,Hustle,20,https://pokemondb.net/pokedex/nidoran-m
Nidorino,,nidorino,33,,,69,,,Poison,,61,72,57,55,55,65,Field,Monster,Male only,Poison Point,Rivalry,Hustle,20,https://pokemondb.net/pokedex/nidorino
Nidoking,,nidoking,34,,,70,,,Poison,Ground,81,102,77,85,75,85,Field,Monster,Male only,Poison Point,Rivalry,Sheer Force,20,https://pokemondb.net/pokedex/nidoking
Clefairy,,clefairy,35,255,,44,,152,Fairy,,70,45,48,60,65,35,Fairy,,Female 3:1,Cute Charm,Magic Guard,Friend Guard,10,https://pokemondb.net/pokedex/clefairy
Clefable,,clefable,36,256,,45,,153,Fairy,,95,70,73,95,90,60,Fairy,,Female 3:1,Cute Charm,Magic Guard,Unaware,10,https://pokemondb.net/pokedex/clefable
Vulpix,,vulpix,37,68,,,,37,Fire,,38,41,40,50,65,65,Field,,Female 3:1,Flash Fire,,Drought,20,https://pokemondb.net/pokedex/vulpix
Vulpix,Alolan Vulpix,vulpix-alola,37,68,,,,37,Ice,,38,41,40,50,65,65,Field,,Female 3:1,Snow Cloak,,Snow Warning,20,https://pokemondb.net/pokedex/vulpix
Ninetales,,ninetales,38,69,,,,38,Fire,,73,76,75,81,100,100,Field,,Female 3:1,Flash Fire,,Drought,20,https://pokemondb.net/pokedex/ninetales
Ninetales,Alolan Ninetales,ninetales-alola,38,69,,,,38,Ice,Fairy,73,67,75,81,100,109,Field,,Female 3:1,Snow Cloak,,Snow Warning,20,https://pokemondb.net/pokedex/ninetales
Jigglypuff,,jigglypuff,39,,12,,60,,Normal,Fairy,115,45,20,45,25,20,Fairy,,Female 3:1,Cute Charm,Competitive,Friend Guard,10,https://pokemondb.net/pokedex/jigglypuff
Wigglytuff,,wigglytuff,40,,13,,61,,Normal,Fairy,140,70,45,85,50,45,Fairy,,Female 3:1,Cute Charm,Competitive,Frisk,10,https://pokemondb.net/pokedex/wigglytuff
Zubat,,zubat,41,,,144,,,Poison,Flying,40,45,35,30,40,55,Flying,,Equal,Inner Focus,,Infiltrator,15,https://pokemondb.net/pokedex/zubat
Golbat,,golbat,42,,,145,,,Poison,Flying,75,80,70,65,75,90,Flying,,Equal,Inner Focus,,Infiltrator,15,https://pokemondb.net/pokedex/golbat
Oddish,,oddish,43,55,,,,,Grass,Poison,45,50,55,75,65,30,Grass,,Equal,Chlorophyll,,Run Away,20,https://pokemondb.net/pokedex/oddish
Gloom,,gloom,44,56,,,,,Grass,Poison,60,65,70,85,75,40,Grass,,Equal,Chlorophyll,,Stench,20,https://pokemondb.net/pokedex/gloom
Vileplume,,vileplume,45,57,,,,,Grass,Poison,75,80,85,110,90,50,Grass,,Equal,Chlorophyll,,Effect Spore,20,https://pokemondb.net/pokedex/vileplume
Paras,,paras,46,,,,,,Bug,Grass,35,70,55,45,55,25,Bug,Grass,Equal,Effect Spore,Dry Skin,Damp,20,https://pokemondb.net/pokedex/paras
Parasect,,parasect,47,,,,,,Bug,Grass,60,95,80,60,80,30,Bug,Grass,Equal,Effect Spore,Dry Skin,Damp,20,https://pokemondb.net/pokedex/parasect
