unique_name,game,move_name,learn_method,level
doduo,SV,Growl,Level up,1
doduo,SV,Peck,Level up,1
doduo,SV,Quick Attack,Level up,5
doduo,SV,Fury Attack,Level up,9
doduo,SV,Pluck,Level up,14
doduo,SV,Double Hit,Level up,19
doduo,SV,Agility,Level up,23
doduo,SV,Uproar,Level up,27
doduo,SV,Acupressure,Level up,30
doduo,SV,Swords Dance,Level up,33
doduo,SV,Drill Peck,Level up,36
doduo,SV,Endeavor,Level up,39
doduo,SV,Thrash,Level up,43
doduo,SV,Assurance,Egg,
doduo,SV,Flail,Egg,
doduo,SV,Sky Attack,Egg,
doduo,SV,Whirlwind,Egg,
doduo,SV,Acrobatics,TM,
doduo,SV,Aerial Ace,TM,
doduo,SV,Agility,TM,
doduo,SV,Baton Pass,TM,
doduo,SV,Body Slam,TM,
doduo,SV,Brave Bird,TM,
doduo,SV,Double-Edge,TM,
doduo,SV,Endeavor,TM,
doduo,SV,Endure,TM,
doduo,SV,Facade,TM,
doduo,SV,Feather Dance,TM,
doduo,SV,Helping Hand,TM,
doduo,SV,Knock Off,TM,
doduo,SV,Low Kick,TM,
doduo,SV,Lunge,TM,
doduo,SV,Mud-Slap,TM,
doduo,SV,Protect,TM,
doduo,SV,Rain Dance,TM,
doduo,SV,Rest,TM,
doduo,SV,Sleep Talk,TM,
doduo,SV,Substitute,TM,
doduo,SV,Sunny Day,TM,
doduo,SV,Swift,TM,
doduo,SV,Swords Dance,TM,
doduo,SV,Tailwind,TM,
doduo,SV,Take Down,TM,
doduo,SV,Tera Blast,TM,
doduo,SV,Thief,TM,
doduo,SV,Throat Chop,TM,
doduo,SV,Uproar,TM,
dodrio,SV,Tri Attack,Evolution,
dodrio,SV,Growl,Level up,1
dodrio,SV,Peck,Level up,1
dodrio,SV,Quick Attack,Level up,1
dodrio,SV,Fury Attack,Level up,12
dodrio,SV,Pluck,Level up,15
dodrio,SV,Double Hit,Level up,19
dodrio,SV,Agility,Level up,23
dodrio,SV,Uproar,Level up,26
dodrio,SV,Acupressure,Level up,30
